name,scientificName,type,tldr,description,productUsing,negativeReactionsWith,source,comparableTo
Alpha Arbutin,,Plant,"Brightening, Cell Regeneration","Arbutin can help hyperpigmentation, improve acne scars, and even out skin tone. It is a plant-based substance found in bearberry, cranberries, blueberries, wheat, and pears. Alpha Arbutin is more stable and effective than its beta form. Arbutin helps stop the molecules that stimulate pigmentation and melanin in your body without killing them completely, and has a milder effect compared to hydroquinone, which is prescription strength. This makes arbutin a safe and effective choice for people with sensitive skin and uneven skin tone.",,https://www.notion.so/Heat-6df34737d9744c17a24b77f4271d4169,https://skincity.com/en/skin-guide/tips-advice/arbutin-treating-uneven-skin-tone,"https://www.notion.so/Licorice-Root-3c5f763cdf6f4772b26324fa6d1b3817, https://www.notion.so/Kojic-Acid-b5beb28e7383456daaeba393342c73bf, https://www.notion.so/Vitamin-C-39e35fb4743f49a9811a527dfa07bf15"
Anthocyanin,,,,,,,,
Babassu Oil,Orbiignya Oleifera Seed Oil,Plant,Cleansing,"Orbignya oleifera is a type of palm, called babassu palm, that is native to South America. The oil from the seeds of this tree is similar to coconut oil. Babassu oil contains approximately 44-47% lauric acid, 15-20% myristic acid, 10-12% oleic acid, 6-9% palmitic acid, 3-5% stearic acid and 1-3% linoleic acid. Orbignya Oleifera Seed Oil functions as a skin-conditioning agent - occlusive. Babassu Acid and Sodium Babassuate function as surfactants - cleansing agents and surfactants - emulsifying agents.",https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf,,https://www.cosmeticsinfo.org/ingredient/orbignya-oleifera-seed-oil-and-babassu-acid,
Birch Juice,Betula Platyphylla Japonica Juice,Plant,"Hydration, Soothing / Anti Inflmmatory","Birch juice is a skin-soothing and hydrating tree sap. Birch juice contains 17 amino acids, antioxidants, enzymes, minerals, proteins and vitamins, including Vitamin B3 and skin-brightening Vitamin C.",https://www.notion.so/Birch-Milk-Refining-Toner-ee800ab6c95a4275ac56ea0cfd46fcfd,,https://thenimetyou.com/products/birch-milk-refining-toner,
Black Chokeberry,Aronia Melanocarpa Fruit Extract,Plant,"Anti-Aging / Antioxidant, Soothing / Anti Inflmmatory","This superfood ingredient has one of the highest recorded antioxidant contents of any fruit or berry, and contributes to skin youth and radiance. Polyphenols in black chokeberry provide anti-aging and skin calming properties, treating UV-exposed skin.",https://www.notion.so/The-Giving-Essence-00ddcc1eae214222bdb8107b0ddbc11d,,https://thenimetyou.com/products/the-giving-essence,
Centella Asiatica,,Acid,"Cell Regeneration, Hydration","This is an antioxidant-rich ingredient that is made up of several actives such as asiatic acid, madecassic acid, and madecassoside. Several studies show positive wound-healing effects, as well as increased moisture content in skin.",https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62,,https://thenimetyou.com/products/soothing-tea-cleansing-gel,
Ellagic Acid,,"Acid, Plant",Brightening,"Found in high concentrations in dark fruits, ellagic acid protects against UV rays, collagen degeneration and harmful bacterial pathogens. This acid brightens skin without impacting cell DNA, making it a safe alternative to other brightening ingredients.",https://www.notion.so/The-Giving-Essence-00ddcc1eae214222bdb8107b0ddbc11d,,https://thenimetyou.com/products/the-giving-essence,
Galactomyces,"Galactomyces Ferment Filtrate ",Plant,"Acne, Brightening","Galactomyces Ferment Filtrate (GFF) is a derivative of fermented sake that has proven skin care benefits, including reducing the appearance of pores, blackheads and sebum; decreasing levels of acne; and improving skin brightness.",https://www.notion.so/The-Giving-Essence-00ddcc1eae214222bdb8107b0ddbc11d,,https://thenimetyou.com/products/the-giving-essence,
Gluconolactone,,"Acid, Naturally Produced from Body","Exfoliating, Hydration","Gluconolactone is a naturally occurring polyhydroxy acid (PHA) that provides exfoliating, moisturizing and antioxidant activity without sensitizing the skin.","https://www.notion.so/Birch-Milk-Refining-Toner-ee800ab6c95a4275ac56ea0cfd46fcfd, https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62",,https://thenimetyou.com/products/birch-milk-refining-toner,
Glycerin,,,,,,,,
