brand,productName,category,usedFor,ingredientsUrl,price,description,instructions,fullIngredientList,img,size,ingredientList
Then I Met You,Birch Milk Refining Toner,Toner,"Anti-Aging, Exfoliation, Hydration",https://thenimetyou.com/products/birch-milk-refining-toner,32,"With a 76% concentration of pure birch juice, this acid toner features an optimal blend of pore-refining AHAs and PHAs and natural skin-soothers like marshmallow root extract and squalane to gently buff away fine lines while hydrating your skin.","Gentle for daily use. After cleansing, shake well and dispense Birch Milk Refining Toner into your hands and pat onto face and neck. Continue with the rest of your skin care routine. With any expected sun exposure, always protect skin with sunscreen.","Betula Platyphylla Japonica Juice, Glycerin, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Glycolic Acid, Lactic Acid, Squalane, Butyrospermum Parkii (Shea) Butter, Althaea Officinalis Root Extract, Gluconolactone, Water, Sodium Lactate,Trehalose,Gaultheria Procumbens (Wintergreen) Leaf Extract, Rosa Damascena Flower Water, Sodium Dodoxynol-40 Sulfate, Sorbic Acid, Olea Europaea (Olive) Fruit Oil, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Styrene/VP Copolymer, Disodium EDTA, Citric Acid",https://cdn.shopify.com/s/files/1/0023/6584/9655/products/Toner-1_1_475x600@2x.jpg?v=1570556282,100 ml / 3.38 oz,"https://www.notion.so/Birch-Juice-f27f15bc5e634affa90ac651b1e9f3e5, https://www.notion.so/Squalane-eb41a2e5030048efa8d8a439bd88f982, https://www.notion.so/Gluconolactone-1c577c18cd204cf98e4c93cf97713b0e, https://www.notion.so/Marshmallow-Root-27c658429bc44a1a92b3f5d787f52797, https://www.notion.so/Olive-Oil-fafd88460dd84f78b23a2de632e139d7"
Then I Met You,The Giving Essence,Essence,"Brightening, Hydration",https://thenimetyou.com/products/the-giving-essence,50,"This silky treatment essence is designed with over 80% naturally fermented ingredients that couple with polyglutamic acid to deeply hydrate and retain moisture in your skin. Its natural pink hue is derived from a powerful cocktail of antioxidant-rich red algae and berries, along with ellagic acid to brighten the skin, which will unveil a luminous complexion.","Gentle for daily use. After cleansing and toning, dispense The Giving Essence into your hands and pat onto face and neck. Continue with the rest of your skincare routine. With any expected sun exposure, always protect skin with sunscreen.","Galactomyces Ferment Filtrate, Aspergillus Ferment Extract Filtrate, Saccharomyces Ferment Filtrate, Propanediol, Niacinamide, Butylene Glycol, 1,2-Hexanediol, Aloe Barbadensis Leaf Extract, Ellagic Acid, Aronia Melanocarpa Fruit Extract, Polyglutamic Acid, Glycerin, Corallina Officinalis Extract, Sodium Hyaluronate, Morus Alba Root Extract, Allantoin, Ocimum Sanctum Leaf Extract, Ribes Nigrum (Black Currant) Fruit Extract, Rubus Coreanus Fruit Extract, Lycium Chinense Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Betaine, Vaccinium Myrtillus Fruit Extract, Aristotelia Chilensis Fruit Extract, Euterpe Oleracea Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Gardenia Jasminoides Fruit Extract, Sodium Polyacryloyldimethyl Taurate, Ethylhexylglycerin, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Xanthan Gum, Coccinia Indica Fruit Extract, Portulaca Oleracea Extract, Water, Methylpropanediol",https://cdn.shopify.com/s/files/1/0023/6584/9655/products/Essence-2_1_475x600@2x.jpg?v=1570557025,100 ml / 3.38 oz,"https://www.notion.so/Black-Chokeberry-4ad0ee7bd4204cc197acff8dc8185ba7, https://www.notion.so/Ellagic-Acid-6afc57faee404315adcc6dccd9b7ae73, https://www.notion.so/Polyglutamic-Acid-fdaf118d74044306b409f2af875e285f, https://www.notion.so/Galactomyces-542c8a7471ff4d36bcb361be4bab626e, https://www.notion.so/Red-Algae-7b3a1a97abd540d79e0d2a13a73afb5f"
Then I Met You,Living Cleansing Balm,Cleanser,Cleansing,https://thenimetyou.com/products/living-cleansing-balm,38,"Our oil cleanser combines a blend of lightweight grape seed, olive and seaberry oils. Hints of rosemary, persimmon and grapefruit make this a sensorial, aromatic experience designed to delight your senses and leave your skin soft and clean.","For the first step of your double cleanse, use spatula to scoop a dime sized amount onto dry skin and gently massage in circular motions. Add a splash of warm water to emulsify and remove oil-based impurities. Rinse thoroughly before moving to step two, a water-based cleanser.","Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Cetyl Ethylhexanoate, PEG-20 Glyceryl Trii-sostearate, PEG-8 Isostearate, Cera Microcristallina (Microcrystalline Wax/Cire Microcristalline), Hippophae Rhamnoides Oil, Ceresin, Synthetic Wax, Orbiignya Oleifera Seed Oil, Diospyros Kaki Fruit Extract, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Paradisi (Grapefruit) Peel Oil, Rosemarinus Officinalis (Rosemary) Leaf Oil, Tocopheryl Acetate, 1,2-Hexanediol, Bis-Diglyceryl Polyacyladipate-2, Ethylene/Propylene Copolymer",https://beautylifestyle11.files.wordpress.com/2018/10/download-2_475x6002x.jpg,90 g / 3.17 oz,"https://www.notion.so/Seaberry-Sea-Buckthorn-Oil-61b79867ac7f476a82cd3b4edc00ab72, https://www.notion.so/Persimmon-Extract-26f51ba2b1fe4fb8bae6ffc3d229672f, https://www.notion.so/Vitamin-E-da5f3f6946b045549e19f6a59ba58d21, https://www.notion.so/Olive-Oil-fafd88460dd84f78b23a2de632e139d7, https://www.notion.so/Grapeseed-Oil-c2d98f01627844af8017df8e39975c09, https://www.notion.so/Babassu-Oil-ed19f6812a74467fae61456bd3e4e0aa"
Then I Met You,Soothing Tea Cleansing Gel,Cleanser,Cleansing,https://thenimetyou.com/products/soothing-tea-cleansing-gel,36,"Featuring fermented rice water (sake), this innovative gel cleanser has a soothing jelly texture to soften and clear your skin of all impurities. A fusion of herbal licorice root and mandarin citrus scents are designed to awaken your senses during every use.","For the second step of your double cleanse, lather a pea-sized amount using water and wet hands. Then massage into your skin to remove water-based impurities. Rinse thoroughly and gently pat dry.","Rice Ferment Filtrate (Sake), Water, Glycerin, Acrylates/Beheneth-25 Methacrylate Copolymer, Diethylhexyl Sodium Sulfosuccinate, Sorbitol, Potassium Cocoyl Glycinate, 1,2-Hexanediol, Disodium Laureth Sulfosuccinate, Diglycerin, Potassium Cocoate, Propylene Glycol, Glycyrrhiza Glabra (Licorice) Root Extract, Oryza Sativa (Rice) Bran Oil,Camellia Sinensis Leaf Extract, Sodium Hyaluronate, Centella Asiatica Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Panthenol, Salix Alba (Willow) Bark Extract, Gluconolactone, Citric Acid, Theobroma Cacao (Cocoa) Extract, Glyceryl Caprylate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Citrus Aurantium Dulcis (Orange) Peel Oil, Polyglycerin-3, Dextrin, Disodium EDTA, Cinnamomum Camphora (Camphor) Bark Oil, Glyceryl Acrylate/Acrylic Acid Copolymer, T-Butyl Alcohol, Butylene Glycol",https://cdn.shopify.com/s/files/1/0023/6584/9655/products/Gel_475x600@2x.jpg?v=1552317732,100 mL / 3.38 oz,"https://www.notion.so/Licorice-Root-3c5f763cdf6f4772b26324fa6d1b3817, https://www.notion.so/Rice-Ferment-Filtrate-Sake-c4ecdeb91de440eaa32c2f1c819612b2, https://www.notion.so/Centella-Asiatica-eabd1d8722444ea68f63198dfc4d0401, https://www.notion.so/Green-Tea-d37717a653f847ec92a87397e732759f, https://www.notion.so/Tea-Tree-Leaf-d3171f5719a84730967cb07d2aaff544, https://www.notion.so/Gluconolactone-1c577c18cd204cf98e4c93cf97713b0e"
Then I Met You,Calming Tide Gel Cream,Moisturizer,"Brightening, Hydration",https://thenimetyou.com/products/calming-tide-gel-cream,42,"A light-as-air skin care experience, infused with our signature Tri-Tide Peptide Complex™, provides a gentle tide of hydration for supple and firm skin. Our innovative gel cream texture is thoughtfully designed to be a burst of lightweight moisture, and is a perfect compliment to our cocktail of skin fortifying ceramides, brightening niacinamide and calming hibiscus plant extracts.","After cleansing, dispense the Calming Tide Gel Cream™ into your hands and smooth onto face and neck morning and night.","Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Niacinamide, Propanediol, Triethylhexanoin, Cetyl Ethylhexanoate, Hibiscus Sabdariffa Flower Extract, Ceramide NP, Acetyl Hexapeptide-8, Sodium Hyaluronate, Palmitoyl Tripeptide-5, Madecassoside, Palmitoyl Pentapeptide-4, Coco-Caprylate/Caprate, Glycereth-25 PCA Isostearate, Carbomer, Tromethamine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethylhexylglycerin, Adenosine, Xanthan Gum, Coptis Japonica Extract, Cyanocobalamin, Betaine, Citrus Aurantium Bergamia Fruit Oil",https://cdn.shopify.com/s/files/1/0023/6584/9655/products/TIMY_PDP3_001_LowRes-updated_edit_jpg_475x600@2x.png?v=1585342031,50 mL /1.69 fl oz,
Glossier,Futuredew,Serum,Brightening,https://www.glossier.com/products/futuredew,24,"A shortcut to the way your skin looks after a full skincare routine—dewy, glowing, cared-for—in one long-wearing product","Use it as the last step in your skincare routine after moisturizer, serums, and sunscreen","Water/Aqua/Eau, Glycerin, Squalane, Isoamyl Laurate, Polyglyceryl-3 Polyricinoleate, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Propanediol, Isohexadecane, 1,2-Hexanediol, Oenothera Biennis (Evening Primrose) Oil, Olive Oil Polyglyceryl-6 Esters, Vitis Vinifera (Grape) Seed Oil, Rosa Canina Fruit Oil, Polyglyceryl-6 Pentaoleate, Sodium Hyaluronate, Tocopheryl Acetate, Evodia Rutaecarpa Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Hydroxyacetophenone, Sodium Chloride, Disteardimonium Hectorite, Propylene Carbonate, Tin Oxide, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)",https://static-assets.glossier.com/production/spree/images/attachments/000/004/424/portrait_normal/1.png?1570461864,30 mL / 1 fl oz,
Glossier,Bubblewrap,Eye Cream,Hydration,https://www.glossier.com/products/bubblewrap,26,A silky eye + lip cream that hydrates your face’s two most delicate areas,"Each morning and night, after cleansing, use your ring finger to gently press one pump of Bubblewrap onto fingertips.","Water/Aqua/Eau, Glycerin, Hydrogenated Polyisobutene, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Dimethicone, Polymethylsilsesquioxane, Caprylic/Capric Triglyceride, Isopropyl Palmitate, Ethylhexyl Stearate, Propanediol, Undecane, Sodium Chloride, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Squalane, Persea Gratissima (Avocado) Oil, Palmitoyl Tripeptide-38, Hydrolyzed Vegetable Protein, Vaccinium Angustifolium (Blueberry) Fruit Extract, Sodium Hyaluronate Crosspolymer, Portulaca Pilosa Extract, Hydrolyzed Hyaluronic Acid, Swertia Chirata Extract, Cetearyl Ethylhexanoate, Disteardimonium Hectorite, PEG/PPG-18/18 Dimethicone, 1,2-Hexanediol, Tridecane, Propylene Carbonate, Lecithin, Tocopheryl Acetate, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Sodium Citrate, Sodium Isostearate, Caprylhydroxamic Acid, Sorbitan Isostearate, Trisodium Ethylenediamine Disuccinate, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Sucrose Cocoate, Helianthus Annuus (Sunflower) Seed Oil, Tocopherol",https://static-assets.glossier.com/production/spree/images/attachments/000/003/860/portrait_normal/01_ShopGrid.jpg?1557425633,22 mL / 0.74 fl oz,
Glossier,Original Balm Dotcom,Lip Product,Hydration,https://www.glossier.com/products/balm-dotcom,12,"A hydrating lip balm packed with antioxidants and natural emollients to nourish dry, chafed skin","Apply a small amount of Balm Dotcom directly to any part of the body that needs extra moisture (elbows, cuticles, etc.)","Petrolatum, Ricinus Communis (Castor) Seed Oil, Beeswax/Cera Alba/Cire d’Abeille, Lanolin, Theobroma Grandiflorum Seed Butter, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, BHT, Tocopheryl Acetate, Tocopherol",https://static-assets.glossier.com/production/spree/images/attachments/000/003/543/portrait_normal/1-Original_01.jpg?1552873634,15 mL / 0.5 fl oz,
Glossier,Milky Jelly Cleanser,Cleanser,Cleansing,https://www.glossier.com/products/milky-jelly-cleanser,18,A gentle-yet-effective creamy gel face wash for all skin types,"Use it on dry skin to remove dirt and makeup, or on wet skin for a refresh","Water/Aqua/Eau, Rosa Damascena Flower Water, PEG-7 Glyceryl Cocoate, Propanediol, Isohexadecane, Poloxamer 184, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Xylitylglucoside, Betaine, Allantoin, Glycerin, Panthenol, Symphytum Officinale Root Extract, Sodium Hyaluronate, Anhydroxylitol, Polysorbate 80, Xylitol, Ammonium Polyacryloyldimethyl Taurate, Isopropyl Myristate, Benzoic Acid, Ethylhexylglycerin, Sodium Hydroxide",https://static-assets.glossier.com/production/spree/images/attachments/000/004/895/portrait_normal/MilkyJelly_Carousel_1.jpg?1580942519,177 mL / 6 fl oz,
Glossier,Solution,Acid,"Acne, Brightening, Exfoliation, Redness, Uneven Skin Tone",https://www.glossier.com/products/solution,24,"A gentle way to slough away dead skin to reveal a fresh, smooth complexion","Once a day after cleansing, press a cotton pad on top of the Solution dispenser and pump down to saturate the pad. Sweep pad across the face and neck, gently pressing into the skin while doing so. Allow a moment for Solution to fully absorb into skin.","Salicylic Acid 0.5%, Aqua/Water/Eau, Lactic Acid, Glycolic Acid, Gluconolactone, Propanediol, Aloe Barbadensis Leaf Juice, Ethoxydiglycol, Magnesium Chloride, Sodium Hydroxide, Glycereth-7 Trimethyl Ether, Niacinamide, Betaine, Inositol, Citric Acid, Glycerin, Phytic Acid, Pentylene Glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Ethylhexylglycerin, Parfum/Fragrance, PEG-8, Acetic Acid, Potassium Hydroxide.",https://static-assets.glossier.com/production/spree/images/attachments/000/003/765/portrait_normal/Solution.jpg?1556564148,130 mL / 4.4 fl oz,
